Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
45,611,6.375,109002.47,DEL,9.8,2009Q3,0.03521,0.33333,60.56%,1.0333333333,0.00363,1.00364,-3.05%,1.46%,0.0036279014,79.937585874,588.33,173.87,606.67,C,6.375,360,1
45,611,6.375,108676.31,DEL,9.9,2009Q4,0.03067,0.30000,44.66%,0.3333333333,0.01092,1.01098,0.18%,4.47%,0.010864507,79.746881104,567.67,176.90,623.33,C,6.375,360,1
45,611,6.375,108344.92,DEL,9.9,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,80.636382352,618.00,182.07,657.67,C,6.375,360,1
45,611,6.375,108008.22,DEL,9.4,2010Q2,-0.02055,-0.20000,3.58%,-0.1,0.00918,1.00922,2.80%,3.74%,0.0091360461,80.462471063,602.00,184.23,599.67,C,6.375,360,1
45,611,6.375,107666.13,DEL,9.5,2010Q3,-0.01745,-0.16667,-1.73%,-0.2,0.00735,1.00737,3.18%,2.98%,0.0073181624,81.724701842,579.67,184.63,574.00,C,6.375,360,1
45,611,6.375,107201.47,DEL,9.3,2010Q4,0.00351,0.03333,-4.36%,-0.166666667,0.00501,1.00502,2.57%,2.02%,0.0049939606,81.917300503,542.33,188.00,583.33,C,6.375,360,1
45,611,6.375,106846.45,DEL,9,2011Q1,-0.05037,-0.46667,-8.14%,0.0333333333,-0.00241,0.99760,1.93%,-0.96%,-0.002410208,82.858613515,582.33,195.90,567.00,C,6.375,360,1
45,611,6.375,106485.75,DEL,9.1,2011Q2,0.00368,0.03333,-5.88%,-0.466666667,0.00712,1.00715,1.72%,2.89%,0.0070989775,82.653290922,574.33,203.70,611.67,C,6.375,360,1
45,611,6.375,106119.27,DEL,9,2011Q3,-0.00738,-0.06667,-4.93%,0.0333333333,-0.00028,0.99972,0.95%,-0.11%,-0.000277864,83.077500309,619.33,203.83,626.00,C,6.375,360,1
45,611,6.375,105746.91,CUR,8.5,2011Q4,-0.04159,-0.36667,-9.12%,-0.066666667,0.01153,1.01159,1.61%,4.72%,0.0114599959,83.993838342,671.67,200.77,691.33,C,6.375,360,1
34,626,6.875,53175.78,CUR,5.6,2014Q4,-0.06234,-0.36667,-17.79%,-0.133333333,0.00561,1.00563,2.88%,2.27%,0.005596441,53.113021443,"1,049.33",200.43,"1,074.33",C,6.875,180,2
34,626,6.875,50909.95,DEL,5.3,2015Q2,-0.01824,-0.10000,-12.37%,-0.166666667,0.00739,1.00741,3.35%,3.00%,0.0073590392,49.845127982,"1,158.00",193.03,"1,271.33",C,6.875,180,2
34,626,6.875,49747.56,CUR,5,2015Q3,-0.06331,-0.33333,-15.93%,-0.1,0.00330,1.00331,2.44%,1.33%,0.003295669,48.040241087,"1,166.67",191.63,"1,149.00",C,6.875,180,2
42,647,5,156067.44,DEL,4,2018Q1,-0.01626,-0.06667,-10.95%,-0.166666667,0.00630,1.00632,2.86%,2.55%,0.0062798788,38.219720185,"1,312.33",198.83,"1,370.67",C,5,360,1
32,665,7,241346,DEL,9.9,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,98.643064464,618.00,182.07,657.67,C,7,360,2
32,665,7,240625.51,CUR,9.4,2010Q2,-0.02055,-0.20000,3.58%,-0.1,0.00918,1.00922,2.80%,3.74%,0.0091360461,98.442399856,602.00,184.23,599.67,C,7,360,2
32,665,4.5,213533.91,CUR,5.3,2015Q2,-0.01824,-0.10000,-12.37%,-0.166666667,0.00739,1.00741,3.35%,3.00%,0.0073590392,74.240353311,"1,158.00",193.03,"1,271.33",C,7,360,2
64,634,6.875,206135.2,DEL,9.4,2009Q2,0.11778,1.03333,74.38%,1.4,-0.00144,0.99856,-3.92%,-0.57%,-0.001441974,86.974346821,534.33,171.33,559.33,C,6.875,360,2
64,634,6.875,205575.69,SDQ,9.6,2009Q3,0.03521,0.33333,60.56%,1.0333333333,0.00363,1.00364,-3.05%,1.46%,0.0036279014,86.401328173,588.33,173.87,606.67,C,6.875,360,2
44,664,4.875,218404.93,SDQ,5.9,2014Q3,-0.02174,-0.13333,-16.13%,-0.466666667,0.01214,1.01221,3.12%,4.97%,0.012062053,43.237175932,"1,030.67",207.13,"1,066.67",B,4.875,360,3
40,660,4.75,120199.61,CUR,8.7,2009Q1,0.18555,1.40000,65.33%,0.8666666667,-0.01129,0.98877,-3.29%,-4.42%,-0.011354426,77.054314509,525.67,169.53,538.67,B,4.75,180,2
55,661,6.5,408285.03,SDQ,9.8,2009Q3,0.03521,0.33333,60.56%,1.0333333333,0.00363,1.00364,-3.05%,1.46%,0.0036279014,81.143162914,588.33,173.87,606.67,B,6.5,360,1
36,611,7.25,116643.89,DEL,8.7,2009Q1,0.18555,1.40000,65.33%,0.8666666667,-0.01129,0.98877,-3.29%,-4.42%,-0.011354426,112.19311686,525.67,169.53,538.67,R,7.25,360,1
36,611,7.25,116329.79,DEL,9.5,2009Q2,0.11778,1.03333,74.38%,1.4,-0.00144,0.99856,-3.92%,-0.57%,-0.001441974,112.32241262,534.33,171.33,559.33,R,7.25,360,1
42,653,4.5,184834.54,CUR,4.1,2017Q4,-0.03953,-0.16667,-13.29%,-0.066666667,0.00871,1.00875,2.80%,3.55%,0.0086727418,52.072539045,"1,251.67",195.70,"1,316.67",C,4.5,360,2
28,636,6.625,209578.82,CUR,8.3,2009Q1,0.18555,1.40000,65.33%,0.8666666667,-0.01129,0.98877,-3.29%,-4.42%,-0.011354426,108.41026642,525.67,169.53,538.67,B,6.625,360,1
28,636,6.625,206233.94,CUR,9.6,2010Q2,-0.02055,-0.20000,3.58%,-0.1,0.00918,1.00922,2.80%,3.74%,0.0091360461,109.32386488,602.00,184.23,599.67,B,6.625,360,1
40,652,4.375,75487.51,CUR,3.9,2018Q4,0.00881,0.03333,-8.06%,-0.166666667,0.00271,1.00271,2.52%,1.09%,0.002705985,56.822903184,"1,176.00",202.63,"1,306.67",C,4.375,360,1
34,647,4.5,91821.68,CUR,8.5,2011Q4,-0.04159,-0.36667,-9.12%,-0.066666667,0.01153,1.01159,1.61%,4.72%,0.0114599959,59.953620422,671.67,200.77,691.33,C,4.5,360,2
34,647,4.5,90537.42,CUR,7.8,2012Q3,-0.02053,-0.16667,-10.74%,-0.066666667,0.00135,1.00135,2.53%,0.54%,0.0013476634,56.534267482,780.33,202.40,873.00,C,4.5,360,2
34,647,4.5,89805.02,PPY,7.5,2013Q1,-0.00858,-0.06667,-6.45%,-0.233333333,0.00882,1.00886,1.57%,3.59%,0.0087789975,53.440224566,953.33,203.60,952.00,C,4.5,360,2
