Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
23,762,6.875,361777.52,DEL,4.7,2016Q4,-0.02759,-0.13333,-5.30%,0,0.00501,1.00503,2.03%,2.03%,0.005002011,57.729025623,"1,246.00",187.07,"1,252.67",C,6.875,360,2
23,762,6.875,360450.15,DEL,4.6,2017Q1,-0.04286,-0.20000,-7.43%,-0.133333333,0.00565,1.00567,2.10%,2.29%,0.0056359028,56.709898112,"1,224.67",191.27,"1,281.33",C,6.875,360,2
23,762,6.875,358430.45,CUR,4.4,2017Q2,-0.04478,-0.20000,-10.88%,-0.2,0.00533,1.00534,2.16%,2.15%,0.0053155621,55.706522992,"1,172.00",193.13,"1,263.33",C,6.875,360,2
55,687,3,230790.06,CUR,4,2018Q1,-0.01626,-0.06667,-10.95%,-0.166666667,0.00630,1.00632,2.86%,2.55%,0.0062798788,21.288452082,"1,312.33",198.83,"1,370.67",R,3,156,1
26,721,4.375,87373.18,CUR,3.8,2019Q1,0.01739,0.06667,-4.92%,0.0333333333,0.00762,1.00765,2.65%,3.10%,0.0075939592,33.962847888,"1,204.00",199.70,"1,316.00",C,4.375,360,1
28,785,4.75,218258.4,SDQ,6.7,2013Q4,-0.04236,-0.30000,-11.11%,-0.3,0.00795,1.00798,2.61%,3.23%,0.0079192739,46.011946862,"1,009.00",201.90,"1,026.00",R,4.75,360,2
23,799,4.5,107819.49,CUR,4,2018Q1,-0.01626,-0.06667,-10.95%,-0.166666667,0.00630,1.00632,2.86%,2.55%,0.0062798788,49.959310559,"1,312.33",198.83,"1,370.67",C,4.5,360,2
35,720,4.625,132958.89,CUR,4.9,2016Q2,-0.00678,-0.03333,-9.82%,-0.1,0.00469,1.00470,1.34%,1.89%,0.0046814472,63.763763363,"1,163.00",185.37,"1,185.67",R,4.625,360,1
49,770,6.75,181270.28,SDQ,9.9,2009Q4,0.03067,0.30000,44.66%,0.3333333333,0.01092,1.01098,0.18%,4.47%,0.010864507,88.176414268,567.67,176.90,623.33,R,6.75,360,2
33,721,4.375,193534.31,DEL,7.5,2013Q1,-0.00858,-0.06667,-6.45%,-0.233333333,0.00882,1.00886,1.57%,3.59%,0.0087789975,67.537302747,953.33,203.60,952.00,C,4.375,180,2
33,721,4.375,191604.06,PPY,7.5,2013Q2,-0.02620,-0.20000,-8.13%,-0.066666667,0.00123,1.00123,1.26%,0.49%,0.001232444,65.023894926,868.00,203.97,985.67,C,4.375,180,2
23,761,4.5,45385.59,DEL,3.7,2018Q3,-0.04330,-0.16667,-12.40%,-0.133333333,0.00721,1.00724,3.13%,2.93%,0.0071844879,30.315085535,"1,240.33",203.77,"1,293.00",R,4.5,180,1
46,798,3.5,363473.87,CUR,4.1,2017Q4,-0.03953,-0.16667,-13.29%,-0.066666667,0.00871,1.00875,2.80%,3.55%,0.0086727418,50.951291799,"1,251.67",195.70,"1,316.67",C,3.5,360,1
46,798,3.5,358808.16,CUR,4,2018Q2,-0.03334,-0.13333,-9.92%,-0.066666667,0.00863,1.00867,3.20%,3.51%,0.0085966147,49.008388312,"1,264.33",202.57,"1,344.67",C,3.5,360,1
46,798,3.5,354060.19,DEL,3.9,2018Q4,0.00881,0.03333,-8.06%,-0.166666667,0.00271,1.00271,2.52%,1.09%,0.002705985,47.488620937,"1,176.00",202.63,"1,306.67",C,3.5,360,1
46,798,3.5,352459.01,SDQ,3.8,2019Q1,0.01739,0.06667,-4.92%,0.0333333333,0.00762,1.00765,2.65%,3.10%,0.0075939592,46.93838057,"1,204.00",199.70,"1,316.00",C,3.5,360,1
45,773,5.375,123775.52,DEL,4.8,2016Q2,-0.00678,-0.03333,-9.82%,-0.1,0.00469,1.00470,1.34%,1.89%,0.0046814472,57.115934107,"1,163.00",185.37,"1,185.67",C,5.375,360,1
45,773,5.375,123176.27,DEL,4.9,2016Q3,0.00000,0.00000,-3.92%,-0.033333333,0.00541,1.00542,1.56%,2.19%,0.0053936623,56.087515395,"1,157.33",187.07,"1,226.00",C,5.375,360,1
42,673,6.375,218449.98,DEL,9.5,2009Q2,0.11778,1.03333,74.38%,1.4,-0.00144,0.99856,-3.92%,-0.57%,-0.001441974,89.691783458,534.33,171.33,559.33,B,6.375,360,2
42,673,6.375,217981.07,SDQ,9.8,2009Q3,0.03521,0.33333,60.56%,1.0333333333,0.00363,1.00364,-3.05%,1.46%,0.0036279014,89.541580703,588.33,173.87,606.67,B,6.375,360,2
24,715,5.375,192226.13,DEL,6.7,2014Q1,-0.03922,-0.26667,-13.79%,-0.3,-0.00283,0.99717,1.43%,-1.13%,-0.002835067,61.262567681,934.00,205.50,"1,027.33",R,5.375,360,1
24,715,5.375,191445.86,CUR,6.3,2014Q2,-0.07257,-0.46667,-17.70%,-0.266666667,0.01345,1.01354,2.67%,5.53%,0.0133560154,60.588950268,987.00,208.20,"1,039.33",R,5.375,360,1
24,715,5.375,187193.54,DEL,5.1,2015Q3,-0.06331,-0.33333,-15.93%,-0.1,0.00330,1.00331,2.44%,1.33%,0.003295669,56.068788728,"1,166.67",191.63,"1,149.00",R,5.375,360,1
24,715,5.375,186629.34,DEL,5.1,2015Q4,-0.01316,-0.06667,-11.70%,-0.333333333,0.00033,1.00033,1.90%,0.13%,0.0003251492,55.000450168,"1,125.33",185.57,"1,204.00",R,5.375,360,1
24,715,5.375,185773.52,SDQ,4.9,2016Q1,-0.02007,-0.10000,-10.84%,-0.066666667,0.00502,1.00503,1.62%,2.03%,0.0050087034,54.15059197,"1,140.00",182.00,"1,157.33",R,5.375,360,1
28,726,6.375,201199.79,CUR,4.7,2007Q4,0.02817,0.13333,8.27%,0.1666666667,0.00606,1.00608,1.97%,2.45%,0.0060416952,89.904720797,"1,166.00",177.43,"1,188.33",R,6.375,360,2
40,682,4.125,,CUR,5,2015Q3,-0.06331,-0.33333,-15.93%,-0.1,0.00330,1.00331,2.44%,1.33%,0.003295669,76.430551002,"1,166.67",191.63,"1,149.00",C,4.125,360,2
27,726,4.75,84097.87,CUR,3.8,2019Q1,0.01739,0.06667,-4.92%,0.0333333333,0.00762,1.00765,2.65%,3.10%,0.0075939592,56.103320157,"1,204.00",199.70,"1,316.00",C,4.75,360,1
25,749,4,232155.72,DEL,4.2,2017Q3,-0.01538,-0.06667,-12.24%,-0.2,0.00788,1.00791,2.42%,3.20%,0.0078459297,82.888682951,"1,181.33",194.03,"1,277.00",C,4,360,1
25,749,4,231041.12,CUR,4.1,2017Q4,-0.03953,-0.16667,-13.29%,-0.066666667,0.00871,1.00875,2.80%,3.55%,0.0086727418,81.076796369,"1,251.67",195.70,"1,316.67",C,4,360,1
41,712,4.125,169939.25,SDQ,3.5,2019Q4,-0.02791,-0.10000,-7.02%,0,0.00526,1.00527,2.33%,2.13%,0.0052470168,49.42098203,"1,432.67",198.87,"1,490.00",C,4.125,360,1
43,806,5,160146.16,DEL,6.9,2013Q4,-0.04236,-0.30000,-11.11%,-0.3,0.00795,1.00798,2.61%,3.23%,0.0079192739,64.438036078,"1,009.00",201.90,"1,026.00",R,5,360,1
43,806,5,159686.76,CUR,6.7,2014Q1,-0.03922,-0.26667,-13.79%,-0.3,-0.00283,0.99717,1.43%,-1.13%,-0.002835067,63.275209933,934.00,205.50,"1,027.33",R,5,360,1
43,806,5,158048.43,DEL,6.1,2014Q3,-0.02174,-0.13333,-16.13%,-0.466666667,0.01214,1.01221,3.12%,4.97%,0.012062053,61.609823872,"1,030.67",207.13,"1,066.67",R,5,360,1
43,806,5,157331.56,DEL,5.8,2014Q4,-0.06234,-0.36667,-17.79%,-0.133333333,0.00561,1.00563,2.88%,2.27%,0.005596441,60.551597746,"1,049.33",200.43,"1,074.33",R,5,360,1
42,741,5,377289.38,SDQ,4.3,2017Q2,-0.04478,-0.20000,-10.88%,-0.2,0.00533,1.00534,2.16%,2.15%,0.0053155621,75.455160768,"1,172.00",193.13,"1,263.33",R,5,360,1
43,802,5.375,84759.28,CUR,9,2011Q3,-0.00738,-0.06667,-4.93%,0.0333333333,-0.00028,0.99972,0.95%,-0.11%,-0.000277864,53.241304577,619.33,203.83,626.00,R,5.375,360,1
36,762,5.25,400953.93,CUR,9.6,2010Q2,-0.02055,-0.20000,3.58%,-0.1,0.00918,1.00922,2.80%,3.74%,0.0091360461,80.179753634,602.00,184.23,599.67,C,5.25,360,2
40,685,5.25,102293.65,DEL,5.9,2014Q3,-0.02174,-0.13333,-16.13%,-0.466666667,0.01214,1.01221,3.12%,4.97%,0.012062053,70.894709014,"1,030.67",207.13,"1,066.67",C,5.25,360,1
