curr_stat,yqtr,CUR,PPY,SDQ,DEL
PPY,2016Q1,0,1,0,0
SDQ,2016Q1,0,0,1,0
CUR,2016Q2,0.9557208366,0.0414395896,0.0000108846,0.0028286891
DEL,2016Q2,0.529667244,0.0409047002,0.0448577774,0.3845702785
PPY,2016Q2,0,1,0,0
SDQ,2016Q2,0,0,1,0
CUR,2016Q3,0.953107703,0.043941612,0.0000190659,0.0029316191
DEL,2016Q3,0.5097987699,0.0385139143,0.0492497826,0.4024375331
PPY,2016Q3,0,1,0,0
SDQ,2016Q3,0,0,1,0
CUR,2016Q4,0.9653181493,0.0321803612,0.0000201764,0.0024813131
DEL,2016Q4,0.5198901334,0.0382981186,0.0427004463,0.3991113018
PPY,2016Q4,0,1,0,0
SDQ,2016Q4,0,0,1,0
CUR,2017Q1,0.973408341,0.0244333153,0.0000280906,0.002130253
DEL,2017Q1,0.5514968047,0.0413354064,0.0407335362,0.3664342526
PPY,2017Q1,0,1,0,0
SDQ,2017Q1,0,0,1,0
CUR,2017Q2,0.9689036506,0.0288371336,0.0000230502,0.0022361657
DEL,2017Q2,0.5527071105,0.0419701027,0.0431908602,0.3621319266
PPY,2017Q2,0,1,0,0
SDQ,2017Q2,0,0,1,0
CUR,2017Q3,0.9674932886,0.0302223112,0.0000506275,0.0022337727
DEL,2017Q3,0.5344372578,0.0419203789,0.0455166363,0.378125727
PPY,2017Q3,0,1,0,0
SDQ,2017Q3,0,0,1,0
CUR,2017Q4,0.9695239577,0.0282429047,0.0000867473,0.0021463902
DEL,2017Q4,0.5435443459,0.0416102663,0.0410845566,0.3737608312
PPY,2017Q4,0,1,0,0
SDQ,2017Q4,0,0,1,0
CUR,2018Q1,0.9771364105,0.020897918,0.0000697138,0.0018959578
DEL,2018Q1,0.5415937737,0.0428243737,0.0406403605,0.3749414921
PPY,2018Q1,0,1,0,0
SDQ,2018Q1,0,0,1,0
CUR,2018Q2,0.9808505058,0.0174173378,0.0000959459,0.0016362105
DEL,2018Q2,0.5614128787,0.045434255,0.0374264364,0.35572643
PPY,2018Q2,0,1,0,0
SDQ,2018Q2,0,0,1,0
CUR,2018Q3,0.9800511473,0.0183172363,0.000043592,0.0015880245
DEL,2018Q3,0.5582113819,0.04381738,0.0375942031,0.360377035
